0.001446,0.020528,0.785718,-0.011818,-0.005520,-0.726257,0.687300,0.050065,0.140255,0.344636,0.129759,-0.146791,-0.104217,0.006512,-0.090941,-0.151549,0.153648,-0.123739,0.082779,-0.051342,0.001054,0.143805,-0.017688,0.359217,-0.618653,0.902280,0.350566,-0.043309,-0.008114,-0.047470,-0.318626,0.669076,0.918577,-0.203503,0.081901,-0.045616
0.001478,0.020794,0.785753,-0.011814,-0.005256,-0.726545,0.686997,0.049133,0.140856,0.345316,0.130087,-0.146457,-0.104742,0.005372,-0.090351,-0.150902,0.153341,-0.122419,0.082686,-0.050517,0.001305,0.145410,-0.018845,0.359653,-0.618063,0.902328,0.350140,-0.043650,-0.008486,-0.048551,-0.318862,0.668486,0.918060,-0.203641,0.081689,-0.046226
0.001544,0.021218,0.785753,-0.011899,-0.004977,-0.726759,0.686772,0.045946,0.142462,0.345455,0.135693,-0.148946,-0.105276,0.004554,-0.089621,-0.150517,0.152859,-0.121209,0.082591,-0.049872,0.001695,0.147066,-0.019816,0.360182,-0.617494,0.902167,0.349715,-0.043954,-0.008902,-0.049465,-0.319093,0.667787,0.917419,-0.203984,0.081516,-0.046802
0.001627,0.021720,0.785758,-0.011917,-0.004555,-0.727085,0.686429,0.042382,0.144269,0.345818,0.141378,-0.151365,-0.105900,0.003238,-0.088680,-0.149822,0.152282,-0.119548,0.082487,-0.048971,0.002187,0.148754,-0.020744,0.361020,-0.616707,0.901587,0.349347,-0.044255,-0.009325,-0.050611,-0.319406,0.667083,0.916689,-0.204108,0.081305,-0.047396
0.001729,0.022314,0.785781,-0.011773,-0.003765,-0.727690,0.685794,0.037165,0.146844,0.346628,0.148837,-0.154436,-0.106758,0.000722,-0.087208,-0.148371,0.151364,-0.116706,0.082347,-0.047478,0.003097,0.150242,-0.022157,0.361584,-0.615499,0.901235,0.349278,-0.044527,-0.009593,-0.052597,-0.319611,0.666586,0.916442,-0.203635,0.081036,-0.048133
0.001841,0.023051,0.785805,-0.011302,-0.002450,-0.728596,0.684846,0.029554,0.150273,0.347959,0.158547,-0.158432,-0.107764,-0.003531,-0.085188,-0.146083,0.150033,-0.112447,0.082151,-0.045509,0.004383,0.151379,-0.023773,0.362443,-0.613694,0.900463,0.349831,-0.044790,-0.009646,-0.055507,-0.319937,0.666427,0.916386,-0.202175,0.080613,-0.049086
0.002013,0.023868,0.785776,-0.010486,-0.000863,-0.729736,0.683648,0.020340,0.153952,0.349782,0.169636,-0.163021,-0.108864,-0.011613,-0.083492,-0.142852,0.153833,-0.110006,0.081979,-0.043160,0.005613,0.152237,-0.025414,0.363651,-0.611436,0.899214,0.350773,-0.045045,-0.009562,-0.059042,-0.320409,0.666601,0.916356,-0.199945,0.080091,-0.050198
0.002248,0.024868,0.785655,-0.009510,0.000622,-0.731132,0.682169,0.010303,0.157622,0.352053,0.182401,-0.168212,-0.110279,-0.024953,-0.082750,-0.138396,0.167736,-0.112228,0.081917,-0.040275,0.006509,0.153380,-0.027025,0.364783,-0.608374,0.897584,0.351661,-0.045249,-0.009630,-0.063144,-0.320898,0.666833,0.916441,-0.197750,0.079652,-0.051227
0.002503,0.026087,0.785500,-0.008795,0.001833,-0.732773,0.680414,0.000272,0.161710,0.354528,0.197128,-0.174026,-0.112303,-0.038361,-0.081938,-0.133218,0.182755,-0.114579,0.081947,-0.037169,0.007378,0.155680,-0.027833,0.366041,-0.603581,0.894612,0.352074,-0.045373,-0.010252,-0.067888,-0.321532,0.667265,0.916388,-0.196240,0.079497,-0.051923
0.002788,0.027406,0.785308,-0.008316,0.002704,-0.734730,0.678303,-0.009715,0.166203,0.357853,0.214062,-0.180633,-0.114921,-0.052326,-0.081168,-0.127103,0.199875,-0.117439,0.082103,-0.033568,0.008113,0.159216,-0.027955,0.367248,-0.596685,0.890621,0.352633,-0.045249,-0.011584,-0.073327,-0.322279,0.667922,0.916501,-0.195463,0.079646,-0.052421
0.003184,0.028845,0.785031,-0.007970,0.003389,-0.736972,0.675868,-0.020060,0.171158,0.361849,0.233130,-0.188038,-0.118012,-0.067209,-0.080339,-0.120137,0.219030,-0.120707,0.082389,-0.029565,0.008829,0.163647,-0.027579,0.368421,-0.588054,0.885750,0.353348,-0.044949,-0.013416,-0.079451,-0.323145,0.668879,0.916742,-0.195065,0.080010,-0.052784
0.003650,0.030321,0.784655,-0.007860,0.003915,-0.739360,0.673253,-0.030606,0.176536,0.365207,0.253957,-0.195913,-0.121649,-0.081904,-0.079262,-0.112701,0.238551,-0.123913,0.082832,-0.025739,0.009692,0.168994,-0.026324,0.369841,-0.578134,0.879181,0.352828,-0.044792,-0.015557,-0.086108,-0.324270,0.670104,0.916431,-0.195211,0.080614,-0.052644
0.004147,0.031846,0.784256,-0.008089,0.004305,-0.741762,0.670600,-0.041061,0.182210,0.366657,0.275832,-0.203788,-0.125922,-0.095240,-0.077745,-0.105184,0.256608,-0.126486,0.083456,-0.022243,0.010865,0.175188,-0.024317,0.371581,-0.567988,0.870624,0.349575,-0.045065,-0.017741,-0.092948,-0.325620,0.671072,0.914982,-0.196204,0.081466,-0.051629
0.004754,0.033542,0.783786,-0.008761,0.004426,-0.744183,0.667904,-0.051040,0.188339,0.367154,0.299009,-0.211788,-0.131335,-0.106974,-0.075832,-0.097491,0.273481,-0.128571,0.084316,-0.019184,0.012297,0.182592,-0.021282,0.373815,-0.557359,0.859898,0.343117,-0.045931,-0.019951,-0.100005,-0.327214,0.671780,0.912528,-0.198141,0.082660,-0.049417
0.005437,0.035278,0.783265,-0.009785,0.004309,-0.746679,0.665099,-0.060755,0.194862,0.366972,0.323571,-0.220035,-0.137671,-0.117654,-0.073576,-0.089490,0.289746,-0.130325,0.085439,-0.016392,0.013886,0.191127,-0.017228,0.376606,-0.545901,0.847020,0.334217,-0.047175,-0.022337,-0.107385,-0.329059,0.672395,0.909229,-0.200876,0.084154,-0.046264
0.006159,0.037020,0.782716,-0.010963,0.004229,-0.749197,0.662243,-0.071064,0.201333,0.363775,0.349021,-0.228176,-0.144004,-0.127511,-0.070867,-0.081493,0.304478,-0.131349,0.086781,-0.013922,0.015749,0.200123,-0.012360,0.380002,-0.534121,0.831664,0.323298,-0.048524,-0.024938,-0.114979,-0.331206,0.672964,0.904455,-0.204275,0.085763,-0.042665
0.006962,0.038775,0.782167,-0.012093,0.004449,-0.751688,0.659393,-0.082729,0.207167,0.355239,0.374574,-0.235751,-0.149510,-0.136719,-0.067601,-0.073812,0.316647,-0.131222,0.088270,-0.011778,0.018037,0.208919,-0.006923,0.384040,-0.522613,0.813538,0.310767,-0.049708,-0.027781,-0.122599,-0.333748,0.673450,0.897474,-0.208224,0.087313,-0.039114
0.007914,0.040587,0.781597,-0.013278,0.005105,-0.754021,0.656697,-0.096322,0.212248,0.339941,0.400769,-0.242790,-0.153694,-0.144788,-0.063617,-0.066821,0.325411,-0.129642,0.089801,-0.010196,0.021106,0.217426,-0.000987,0.388812,-0.511843,0.792765,0.295029,-0.050997,-0.031099,-0.130006,-0.336782,0.673653,0.888121,-0.212962,0.089114,-0.035388
0.008935,0.042472,0.781054,-0.014567,0.006028,-0.756261,0.654080,-0.111200,0.216493,0.319430,0.427435,-0.249336,-0.157286,-0.151737,-0.059053,-0.060249,0.331348,-0.126863,0.091419,-0.009063,0.024789,0.226012,0.005612,0.394364,-0.501422,0.769311,0.276400,-0.052372,-0.034829,-0.137260,-0.340355,0.673592,0.876558,-0.218478,0.091143,-0.031315
0.009998,0.044456,0.780460,-0.015735,0.007085,-0.758652,0.651268,-0.126261,0.219406,0.295888,0.452712,-0.254966,-0.161227,-0.158691,-0.054276,-0.053420,0.335969,-0.123389,0.093262,-0.007896,0.028442,0.234672,0.013015,0.400609,-0.490621,0.742693,0.258172,-0.053154,-0.038532,-0.144757,-0.344503,0.673672,0.862682,-0.224224,0.092733,-0.027470
