-0.002312,0.022707,0.787613,-0.015080,-0.007525,-0.692558,0.721166,0.079333,0.144917,0.324821,0.126435,-0.154526,-0.126464,0.045350,-0.090475,-0.216169,0.153573,-0.143928,0.068783,-0.064868,0.015069,0.161123,-0.070315,0.347960,-0.718696,0.922428,0.368348,-0.095850,-0.035338,-0.080120,-0.311016,0.706042,0.957768,-0.176976,0.076122,-0.051036
-0.002420,0.022858,0.787662,-0.015122,-0.007471,-0.692768,0.720963,0.078802,0.145536,0.325290,0.126958,-0.153787,-0.126493,0.044698,-0.089972,-0.215703,0.153743,-0.143478,0.068294,-0.063656,0.015799,0.162276,-0.069536,0.348343,-0.716211,0.917652,0.368399,-0.098161,-0.031674,-0.080857,-0.311229,0.705584,0.957615,-0.177347,0.076512,-0.051276
-0.002557,0.023054,0.787728,-0.015149,-0.007419,-0.692978,0.720761,0.078276,0.146111,0.325765,0.127483,-0.153114,-0.126478,0.044068,-0.089511,-0.215215,0.153867,-0.143043,0.067856,-0.062942,0.016485,0.163437,-0.068379,0.348908,-0.713109,0.912724,0.368726,-0.100582,-0.028116,-0.081915,-0.311477,0.705654,0.957672,-0.177568,0.076873,-0.051554
-0.002756,0.023351,0.787792,-0.015208,-0.007361,-0.693189,0.720557,0.077725,0.146767,0.326230,0.128041,-0.152327,-0.126550,0.043402,-0.088971,-0.214767,0.154058,-0.142557,0.067315,-0.061965,0.017242,0.164656,-0.067344,0.349385,-0.710147,0.907616,0.368844,-0.102861,-0.024451,-0.082921,-0.311629,0.705472,0.957646,-0.177957,0.077281,-0.051764
-0.003006,0.023749,0.787849,-0.015351,-0.007288,-0.693401,0.720352,0.077097,0.147670,0.326656,0.128716,-0.151273,-0.126843,0.042701,-0.088184,-0.214435,0.154300,-0.141868,0.066513,-0.060832,0.018218,0.166214,-0.066008,0.349958,-0.706621,0.901340,0.368755,-0.104829,-0.020650,-0.084096,-0.311750,0.705129,0.957289,-0.178691,0.077814,-0.051758
-0.003295,0.024182,0.787920,-0.015622,-0.007224,-0.693618,0.720137,0.076466,0.148886,0.327019,0.129563,-0.150003,-0.127441,0.042053,-0.087080,-0.214253,0.154601,-0.140943,0.065341,-0.059510,0.019454,0.168221,-0.064445,0.350725,-0.702700,0.893749,0.368537,-0.106370,-0.016395,-0.085445,-0.311841,0.704470,0.956599,-0.179720,0.078512,-0.051294
-0.003552,0.024647,0.788016,-0.016006,-0.007139,-0.693838,0.719918,0.075826,0.150379,0.327335,0.130530,-0.148569,-0.128254,0.041422,-0.085712,-0.214187,0.154994,-0.139876,0.063903,-0.058041,0.020895,0.170576,-0.062627,0.351769,-0.698488,0.885024,0.368198,-0.107603,-0.011846,-0.086905,-0.311899,0.703542,0.955633,-0.180992,0.079324,-0.050506
-0.003860,0.025196,0.788098,-0.016455,-0.006927,-0.694025,0.719730,0.072135,0.153220,0.327128,0.137721,-0.150056,-0.129205,0.040738,-0.083950,-0.214305,0.155090,-0.138497,0.062341,-0.055936,0.022759,0.172821,-0.061190,0.352343,-0.694634,0.876270,0.367165,-0.108648,-0.007437,-0.088056,-0.311905,0.702110,0.954312,-0.182700,0.080194,-0.049874
-0.004257,0.025812,0.788165,-0.016936,-0.006502,-0.694165,0.719587,0.064919,0.157570,0.326334,0.151728,-0.154657,-0.130186,0.039926,-0.081720,-0.214606,0.154669,-0.136735,0.060799,-0.054502,0.024943,0.175368,-0.058000,0.353971,-0.688489,0.864866,0.365722,-0.109758,-0.004214,-0.089735,-0.311940,0.701456,0.952384,-0.185036,0.081073,-0.049748
-0.004652,0.026448,0.788228,-0.017413,-0.005911,-0.694271,0.719479,0.056904,0.162347,0.325464,0.166551,-0.159175,-0.131111,0.039017,-0.079136,-0.215027,0.153686,-0.134513,0.059340,-0.052566,0.027421,0.177773,-0.054446,0.355622,-0.681850,0.852378,0.363224,-0.110754,-0.002147,-0.091076,-0.311940,0.700460,0.949728,-0.188420,0.082094,-0.050350
-0.005079,0.027233,0.788305,-0.017906,-0.005192,-0.694352,0.719394,0.048029,0.167605,0.324462,0.182551,-0.163914,-0.132047,0.037824,-0.076260,-0.215534,0.152724,-0.132146,0.057863,-0.050412,0.030218,0.180193,-0.050459,0.357240,-0.674390,0.838806,0.360068,-0.111631,-0.000924,-0.092334,-0.311920,0.699295,0.946514,-0.192667,0.083241,-0.051407
-0.005560,0.028010,0.788374,-0.018329,-0.004453,-0.694436,0.719307,0.039005,0.172821,0.323451,0.198337,-0.168149,-0.133007,0.036506,-0.073371,-0.216036,0.151524,-0.129593,0.056376,-0.048011,0.033026,0.182658,-0.045997,0.359001,-0.666461,0.824506,0.356130,-0.112596,-0.000130,-0.093663,-0.311922,0.698565,0.942937,-0.196873,0.084233,-0.052814
-0.006107,0.028878,0.788441,-0.018602,-0.003791,-0.694554,0.719190,0.030420,0.177512,0.322548,0.212772,-0.171324,-0.134009,0.034887,-0.070835,-0.216407,0.150499,-0.127177,0.054876,-0.045128,0.035573,0.185147,-0.041323,0.360841,-0.658702,0.810204,0.351250,-0.113854,0.000701,-0.095026,-0.311995,0.698617,0.939115,-0.200206,0.084783,-0.054463
-0.006676,0.029788,0.788512,-0.018729,-0.003198,-0.694732,0.719018,0.022319,0.181737,0.321878,0.225843,-0.173502,-0.135075,0.032950,-0.068599,-0.216611,0.149634,-0.124910,0.053356,-0.041668,0.037896,0.187632,-0.036323,0.362784,-0.651050,0.795542,0.345430,-0.115345,0.001478,-0.096369,-0.312190,0.699574,0.934949,-0.202436,0.084871,-0.056586
